	A_rep1	A_rep2	A_rep3	B_rep1	B_rep2	B_rep3
SLC25A27	371	334	738	351	347	379
SLC25A28	1719	1523	2501	1606	1433	2114
SLC25A29	1450	1063	1610	1335	1230	1803
SLC25A3	19612	17576	29109	17957	17168	22844
SLC25A30	522	539	900	437	435	510
SLC25A32	732	706	1610	826	806	980
SLC25A33	137	134	279	120	140	155
SLC25A34	65	63	103	454	395	567
SLC25A35	178	178	289	210	178	248
SLC25A36	1863	1735	3256	2101	2129	2492
SLC25A37	956	846	1289	5651	5129	7476
SLC25A38	1617	1433	2229	1982	1812	2468
SLC25A39	7828	6397	9527	6444	5918	8755
SLC25A4	1415	1255	2063	530	499	716
SLC25A40	646	661	1167	734	712	871
SLC25A41	8	7	5	0	0	2
SLC25A42	588	468	710	576	524	788
SLC25A43	1294	1131	2187	1283	1190	1587
SLC25A44	2265	1891	3129	2683	2476	3265
SLC25A45	99	72	123	63	59	75
SLC25A46	2413	2343	4079	3095	2941	3740
SLC25A48	1	2	3	0	3	1
SLC25A5	22741	20357	34298	11718	11817	15946
SLC25A5-AS1	40	35	58	62	55	71
SLC25A51	741	605	1082	630	589	786
SLC25A53	20	16	18	27	26	48
SLC26A1	61	47	74	69	67	107
SLC26A10	12	10	20	85	62	80
SLC26A11	271	205	308	28	36	44
SLC26A2	5153	4993	9640	60793	61684	72208
SLC26A4	27	12	36	71	55	79
SLC26A6	2565	2172	3597	2896	2761	3886
SLC26A7	42	53	99	48	56	62
SLC26A8	1	1	3	18	10	15
SLC26A9	11	16	21	4	2	4
SLC27A1	676	562	848	475	501	730
SLC27A2	1267	1161	1980	1	4	5
SLC27A3	1199	955	1490	504	499	721
SLC27A4	3077	2552	3708	2823	2570	3978
SLC27A5	68	45	61	32	33	51
SLC27A6	2	1	1	20	28	31
SLC28A2	2	1	1	7	9	8
SLC28A3	15	12	51	11	8	16
SLC29A1	1487	1224	2002	9105	8263	10920
SLC29A2	553	485	684	108	113	145
SLC29A3	186	157	264	345	330	450
SLC29A4	55	48	46	100	107	194
SLC2A1	30025	26201	36395	6661	6441	9577
SLC2A1-AS1	24	33	41	6	9	9
SLC2A10	54	41	76	629	542	854
SLC2A11	206	182	291	135	114	177
SLC2A12	311	280	510	122	100	105
SLC2A13	206	172	339	455	406	510
SLC2A3	12	9	12	321	312	388
SLC2A4	13	18	12	1	3	7
SLC2A4RG	5826	4927	6585	6186	5424	8093
SLC2A5	110	95	157	3	9	22
SLC2A6	371	283	433	4132	3490	5388
SLC2A8	1087	903	1247	1258	1118	1616
SLC2A9	1145	964	1601	421	365	539
SLC30A1	1204	1035	1553	1448	1341	1889
SLC30A2	25	30	34	0	1	0
SLC30A4	142	156	230	233	259	306
SLC30A5	2777	2724	4794	3907	3747	4753
SLC30A6	1371	1377	2825	1379	1374	1635
SLC30A7	1036	1034	2056	1717	1692	1925
SLC30A9	3550	3414	6353	3474	3491	4057
SLC31A1	2047	1804	3995	2430	2309	2765
SLC31A2	2689	2475	4280	2866	2710	3933
SLC33A1	1075	1071	1754	1798	1793	2306
SLC34A1	26	17	33	0	0	0
SLC34A2	24	14	38	1	2	2
SLC34A3	19	14	25	20	17	25
SLC35A1	468	395	922	455	458	586
SLC35A2	1550	1246	1910	2020	1938	2640
SLC35A3	481	512	1124	513	508	612
SLC35A4	10354	8807	12937	9277	8475	11850
SLC35A5	1391	1356	2425	1564	1518	1854
SLC35B1	1217	1088	1861	2703	2450	3285
SLC35B2	3765	3185	4951	6814	6269	9000
SLC35B3	718	719	1417	1175	1093	1440
SLC35B4	917	870	1664	2212	2095	2776
SLC35C1	1532	1196	1772	2628	2533	3965
SLC35C2	3123	2663	4278	3811	3573	5057
SLC35D1	1809	1727	3058	957	988	1233
SLC35D2	1275	1178	2167	1294	1164	1468
SLC35E1	2319	2061	3349	3935	3687	5071
SLC35E2	235	226	387	489	431	570
SLC35E2B	1460	1288	1961	1796	1680	2387
SLC35E3	471	413	794	448	432	571
SLC35E4	209	180	249	644	554	834
SLC35F2	3037	2727	4765	4763	4672	6073
SLC35F3	8	8	7	33	29	43
SLC35F5	1304	1217	2176	1071	1041	1309
SLC35F6	2226	1881	3103	1804	1678	2240
SLC35G1	141	144	232	218	230	251
SLC35G2	56	44	92	119	105	129
SLC36A1	1537	1369	2277	1482	1433	2018
SLC36A4	336	324	616	720	776	918
SLC37A1	376	317	484	491	428	601
SLC37A2	1513	1277	1975	2838	2634	3863
SLC37A3	1186	1079	2027	1907	1873	2425
SLC37A4	1471	1222	2045	1628	1518	2214
SLC38A1	16271	15452	28627	14655	14482	17432
SLC38A10	4510	3632	5164	4691	4226	6118
SLC38A2	34732	33533	57942	18421	18356	20834
SLC38A4	10	5	11	275	301	383
SLC38A5	5	7	6	16	20	29
SLC38A6	212	183	370	385	362	408
SLC38A7	573	474	811	1476	1341	1962
SLC38A9	1089	1046	2008	1469	1487	1715
SLC39A1	4799	3972	6518	7680	7208	9943
SLC39A10	490	449	871	1506	1447	1642
SLC39A11	672	576	946	519	540	709
SLC39A13	2365	1900	2748	9188	8233	12182
SLC39A14	3029	2982	4702	6169	6086	7819
SLC39A2	8	2	9	3	1	3
SLC39A3	1097	908	1231	1765	1572	2344
SLC39A4	174	157	241	195	176	264
SLC39A5	0	4	3	6	4	9
SLC39A6	3417	3204	5578	5499	5544	6955
SLC39A7	4922	4206	7274	11839	11293	15176
SLC39A8	666	565	1062	3563	3443	4332
SLC39A9	4047	3727	6548	3169	3072	3741
SLC3A2	40293	33880	53665	19051	17614	26046
SLC40A1	10	7	5	4	2	9
SLC41A1	1552	1347	2291	2181	2066	2848
SLC41A2	58	60	117	99	108	106
SLC41A3	1969	1695	2674	1849	1777	2520
SLC43A1	71	47	103	214	170	295
SLC43A2	2383	1933	2603	1163	1025	1519
SLC43A3	6	4	8	26	18	20
SLC44A1	5044	4720	8465	3389	3493	4181
SLC44A2	7631	6505	10447	6142	5640	7805
SLC44A3	160	156	242	31	29	30
SLC44A4	0	1	1	3	1	4
SLC44A5	299	305	589	88	104	103
SLC45A1	21	25	31	49	47	66
SLC45A2	1	3	2	11	6	5
SLC45A3	45	47	90	530	554	671
SLC45A4	542	391	532	265	244	314
SLC46A1	255	219	320	242	221	340
SLC46A2	1	3	5	1	5	8
SLC46A3	137	129	220	12798	12407	15580
SLC47A1	409	330	557	206	205	298
SLC47A2	702	568	974	10	3	16
SLC48A1	310	302	482	189	166	232
SLC4A11	214	218	314	158	155	234
SLC4A1AP	1531	1418	2381	2097	2039	2635
SLC4A2	5048	4152	6026	7118	6278	9348
SLC4A3	389	298	512	1396	1315	1826
SLC4A4	3	6	3	10	13	13
SLC4A5	196	166	457	258	300	326
SLC4A7	2519	2406	4067	1582	1530	1744
SLC4A8	6	12	13	66	62	77
SLC4A9	4	5	7	2	2	1
SLC50A1	1714	1453	2419	1266	1290	1659
SLC51A	20	18	34	18	11	30
SLC52A1	10	12	8	2	1	2
SLC52A2	2109	1603	2220	3453	3157	4713
SLC52A3	336	278	429	255	255	342
SLC5A1	8	10	19	0	2	5
SLC5A10	1161	938	1463	1546	1509	2273
SLC5A11	8	1	9	4	3	11
SLC5A12	10	12	19	19	26	32
SLC5A2	6	2	6	5	7	19
SLC5A3	1720	1729	2889	760	762	895
SLC5A5	0	0	3	3	1	0
SLC5A6	967	839	1406	1388	1282	1733
SLC5A9	6	3	10	10	10	19
SLC6A11	311	260	372	18	24	13
SLC6A12	1	1	0	4	3	7
SLC6A13	2	9	8	16	15	36
SLC6A14	61	60	168	2	2	2
SLC6A15	1071	1013	1767	2085	2076	2583
SLC6A16	15	10	28	30	22	39
SLC6A2	29	28	41	0	0	0
SLC6A20	4	4	5	2	2	2
SLC6A4	0	2	9	6	14	15
SLC6A6	903	755	1239	1180	1086	1437
SLC6A7	1	0	0	8	5	14
SLC6A8	3397	2828	4128	2700	2620	3805
SLC6A9	558	445	884	106	98	150
SLC7A1	11838	10134	15760	6254	5681	8003
SLC7A11	1364	1387	3798	298	353	377
SLC7A11-AS1	39	39	65	6	4	6
SLC7A2	261	243	463	4264	4319	5515
SLC7A4	9	6	8	1	1	2
SLC7A5	180409	147098	208000	46343	40757	63472
SLC7A5P1	24	12	16	17	8	24
SLC7A5P2	48	35	44	40	29	58
SLC7A6	1799	1701	3018	3978	3948	5044
SLC7A6OS	230	202	272	344	349	509
SLC7A7	20	11	41	35	32	39
SLC7A8	3263	2801	4148	745	697	1096
SLC7A9	4	5	2	3	5	5
SLC8A1	8	5	8	96	97	108
SLC8A2	4	4	1	6	1	7
SLC8A3	0	0	0	2	4	3
SLC9A1	3311	2770	4029	5597	4933	7554
SLC9A2	25	26	44	19	28	24
SLC9A3	789	647	941	519	455	722
SLC9A3R1	5401	4501	6230	1167	1070	1508
SLC9A3R2	581	452	600	993	859	1273
SLC9A5	54	54	78	394	398	528
SLC9A6	880	841	1490	1193	1137	1369
SLC9A7	282	283	501	45	56	59
SLC9A7P1	21	19	15	69	61	81
SLC9A8	1441	1264	2081	1558	1477	2073
SLC9A9	1475	1412	2377	105	94	139
SLC9B1	6	7	14	26	20	23
SLC9B2	417	437	697	1133	1136	1390
SLC9C1	4	4	15	25	24	22
SLCO1B1	3	2	9	6	3	3
SLCO1B3	129	109	255	102	102	111
SLCO1B7	4	5	10	5	10	7
SLCO2A1	401	354	580	1215	1067	1601
SLCO2B1	2	1	1	21	7	19
SLCO3A1	1225	1114	1660	1033	890	1297
SLCO4A1	654	538	630	946	906	1334
SLCO5A1	0	0	1	9	7	13
SLFN11	3	2	2	9	15	12
SLFN12	306	312	596	425	468	559
SLFN12L	35	25	32	14	19	11
SLFN13	264	270	517	383	349	441
SLFN5	1736	1533	2853	4208	4252	5477
SLFNL1	9	6	9	13	7	22
SLFNL1-AS1	39	30	52	49	43	60
SLIRP	2074	2002	3531	2077	2033	2331
SLIT1	11	7	5	21	19	16
SLIT2	4	13	16	4	5	7
SLIT3	3	6	7	273	270	446
SLITRK1	0	0	0	10	5	7
SLITRK6	2511	2283	3696	1037	1006	1208
SLK	8972	8539	14727	7015	7264	8573
SLMAP	2361	2359	4247	2940	2853	3212
SLMO1	128	112	191	344	284	452
SLMO2	2056	2139	4092	1527	1596	1781
SLN	3	3	2	9	7	8
SLPI	8761	7536	12588	1859	1851	2345
SLTM	6476	5845	11128	6075	5947	7391
SLU7	3438	3128	6163	4289	4257	5197
SLURP1	18	9	10	0	0	0
SLX4	782	674	1132	1116	938	1406
SLX4IP	139	143	204	97	95	115
SMA4	28	21	11	11	6	22
SMAD1	1493	1370	2297	1029	1024	1309
SMAD2	2729	2390	4423	3208	3113	3662
SMAD3	3696	3271	5677	2350	2219	2960
SMAD4	2020	1850	3156	2788	2837	3502
SMAD5	2360	2179	4518	3842	3761	4533
SMAD5-AS1	17	9	19	8	12	7
SMAD6	12	6	10	230	177	281
SMAD7	1034	842	1364	3161	2784	3823
SMAD9	112	107	176	264	235	273
SMAGP	462	437	721	598	566	822
SMAP1	1631	1551	2569	1456	1395	1896
SMAP2	2169	1828	3024	1225	1112	1521
SMARCA1	81	54	128	440	471	524
SMARCA2	6666	5921	9887	6044	5676	7414
SMARCA4	7978	6739	9722	9291	8301	12681
SMARCA5	5202	4920	8913	5559	5600	6967
SMARCAD1	1923	1804	3360	2840	2963	3313
SMARCAL1	1387	1265	2156	1686	1554	2156
SMARCB1	4518	3795	5702	5329	4683	6972
SMARCC1	6344	5679	9889	6872	6625	8698
SMARCC2	4756	3932	6875	5008	4597	6582
SMARCD1	3718	3378	5600	4521	4309	5715
SMARCD2	9731	8628	12974	3796	3567	5074
SMARCD3	263	239	330	527	471	683
SMARCE1	4047	3565	6387	5444	5358	6569
SMC1A	6657	5859	9872	6543	6324	8590
SMC1B	2	9	2	3	7	8
SMC2	5631	5284	9983	6070	6028	6996
SMC3	2631	2480	4864	3540	3542	4066
SMC4	10894	10841	21315	11206	11347	12936
SMC5	3320	3308	6280	4966	5000	5765
SMC6	2846	2658	5267	3341	3468	3767
SMCHD1	1785	1820	3499	2195	2149	2538
SMCR7	480	390	600	682	630	993
SMCR7L	3039	2641	4463	3568	3355	4731
SMCR8	2362	2055	3338	2821	2698	3993
SMEK1	2826	2592	4980	3501	3354	4173
SMEK2	3480	3329	5841	3186	3104	3636
SMG1	6060	5585	10147	5788	5857	7497
SMG1P1	8	10	22	12	12	17
SMG5	5094	4471	6725	7558	7085	10194
SMG6	2502	2293	3606	3646	3436	4667
SMG7	4417	4024	6744	4686	4482	5898
SMG7-AS1	31	28	59	40	41	59
SMG8	1064	1030	1639	1654	1603	2235
SMG9	1932	1612	2550	2616	2557	3609
SMIM1	15	12	10	3	2	4
SMIM10	2	3	4	11	10	14
SMIM11	531	511	1023	731	708	881
SMIM12	1958	1713	2874	2944	2758	3707
SMIM13	542	538	1072	1070	995	1249
SMIM14	383	356	694	770	719	819
SMIM15	3508	3321	6575	4239	4239	5006
SMIM16	3	4	0	324	304	392
SMIM17	3	2	3	12	20	24
SMIM2-IT1	5	5	4	3	3	2
SMIM3	525	505	776	1646	1640	2129
SMIM4	412	351	522	333	366	522
SMIM5	22	17	35	31	27	47
SMIM6	9	4	6	9	5	6
SMIM7	1507	1446	2489	1844	1864	2224
SMIM8	235	250	445	262	278	345
SMKR1	38	27	49	8	8	8
SMNDC1	1436	1360	2637	2210	2151	2566
SMO	295	257	370	134	153	223
SMOC1	414	341	651	948	903	1318
SMOX	1484	1216	1700	2583	2295	3476
SMPD1	1553	1421	1892	2632	2345	3444
SMPD2	381	342	601	393	377	530
SMPD3	84	66	124	70	56	110
SMPD4	3455	2913	4433	4398	4118	6064
SMPDL3A	339	274	506	252	247	297
SMPDL3B	127	90	180	2	2	1
SMS	1605	1374	2544	3800	3665	4190
SMTN	1795	1519	2160	10540	9262	14394
SMTNL1	0	0	2	0	0	0
SMU1	2893	2577	5410	3007	2856	3474
SMUG1	846	727	1183	1040	982	1278
SMURF1	2818	2541	4165	5403	5152	7083
SMURF2	907	820	1552	5291	5063	6295
SMYD2	1204	1147	2046	1798	1846	2286
SMYD3	637	592	907	711	642	908
SMYD4	533	511	839	962	902	1318
SMYD5	1225	1057	1655	1666	1584	2171
SNAI1	21	15	26	3159	2832	4165
SNAI2	10286	9409	17555	24844	23467	31538
SNAI3	2	4	2	10	21	25
SNAI3-AS1	40	41	49	205	189	263
SNAP23	1248	1251	2424	2849	2848	3455
SNAP25	2	4	5	1	6	7
SNAP29	2710	2452	4589	3002	2852	3661
SNAP47	1156	907	1557	1422	1512	2082
